news_headline,news_article,news_category,full_text,clean_text
"I didn't agree with OpenAI team, was better to part ways: Elon Musk","Elon Musk revealed he hasn't been closely involved with artificial intelligence startup OpenAI, co-founded by him in 2015, for over a year. ""I didn't agree with some of what OpenAI team wanted...It was better to part ways on good terms,"" said Musk. He was responding to an article claiming OpenAI made a text generator that was too dangerous to release.",technology,"I didn't agree with OpenAI team, was better to part ways: Elon Musk. Elon Musk revealed he hasn't been closely involved with artificial intelligence startup OpenAI, co-founded by him in 2015, for over a year. ""I didn't agree with some of what OpenAI team wanted...It was better to part ways on good terms,"" said Musk. He was responding to an article claiming OpenAI made a text generator that was too dangerous to release.","not agree OpenAI team , better part ways : Elon Musk. Elon Musk revealed not closely involved artificial intelligence startup OpenAI , co-founded 2015 , year. "" not agree OpenAI team wanted ... better part ways good terms , "" said Musk. responding article claiming OpenAI made text generator dangerous release ."
Website uses AI to create faces of 'people who do not exist',"US-based software engineer Phillip Wang has created a website, 'thispersondoesnotexist.com', which uses Artificial Intelligence (AI) to create real looking faces. ""Each time you refresh the site, the network will generate a new facial image from scratch,"" Wang wrote on Facebook. The website uses an algorithm called a Generative Adversarial Network (GAN), developed by NVIDIA.",technology,"Website uses AI to create faces of 'people who do not exist'. US-based software engineer Phillip Wang has created a website, 'thispersondoesnotexist.com', which uses Artificial Intelligence (AI) to create real looking faces. ""Each time you refresh the site, the network will generate a new facial image from scratch,"" Wang wrote on Facebook. The website uses an algorithm called a Generative Adversarial Network (GAN), developed by NVIDIA.","Website uses AI create faces people not exist. US-based software engineer Phillip Wang created website , thispersondoesnotexist.com , uses Artificial Intelligence ( AI ) create real looking faces. "" time refresh site , network generate new facial image scratch , "" Wang wrote Facebook. website uses algorithm called Generative Adversarial Network ( GAN ) , developed NVIDIA ."
UK to track thousands of criminals with electronic GPS tags,"Thousands of criminals in England and Wales will be tagged with GPS trackers that let authorities trace their locations 24 hours a day, the UK's Justice Secretary David Gauke said.  The electronic tags can be used to ban someone from going within a certain distance of an address. They will better protect victims of domestic abuse or stalking, Gauke added.
",technology,"UK to track thousands of criminals with electronic GPS tags. Thousands of criminals in England and Wales will be tagged with GPS trackers that let authorities trace their locations 24 hours a day, the UK's Justice Secretary David Gauke said.  The electronic tags can be used to ban someone from going within a certain distance of an address. They will better protect victims of domestic abuse or stalking, Gauke added.
","UK track thousands criminals electronic GPS tags. Thousands criminals England Wales tagged GPS trackers let authorities trace locations 24 hours day , UKs Justice Secretary David Gauke said. electronic tags used ban someone going within certain distance address. better protect victims domestic abuse stalking , Gauke added."
"Super Mario's 1985 copy sold for ₹71 lakh, sets world record","A rare copy of videogame 'Super Mario Bros', released by Nintendo in 1985, was sold for $100,150 (over ₹71 lakh), setting a world record for a graded game, as per auction house Heritage Auctions. The 'sticker-sealed' copy was part of the initial test market launches in 1985 and 1986. ""This is the only known sticker-sealed copy,"" Heritage Auctions said.",technology,"Super Mario's 1985 copy sold for ₹71 lakh, sets world record. A rare copy of videogame 'Super Mario Bros', released by Nintendo in 1985, was sold for $100,150 (over ₹71 lakh), setting a world record for a graded game, as per auction house Heritage Auctions. The 'sticker-sealed' copy was part of the initial test market launches in 1985 and 1986. ""This is the only known sticker-sealed copy,"" Heritage Auctions said.","Super Marios 1985 copy sold 71 lakh , sets world record. rare copy videogame Super Mario Bros , released Nintendo 1985 , sold $ 100,150 ( 71 lakh ) , setting world record graded game , per auction house Heritage Auctions. sticker-sealed copy part initial test market launches 1985 1986. "" known sticker-sealed copy , "" Heritage Auctions said ."
Ex-Apple lawyer to check insider trading sued for insider trading,"US Securities and Exchange Commission filed a lawsuit against former Apple lawyer Gene Levoff for insider trading. Apple hired Levoff in 2008 as Director of Corporate Law to check insider trading and fired him in 2018. Levoff is accused of selling millions of dollars in stock ahead of earnings and saving around $382,000 in losses besides earning $245,000 in profits.",technology,"Ex-Apple lawyer to check insider trading sued for insider trading. US Securities and Exchange Commission filed a lawsuit against former Apple lawyer Gene Levoff for insider trading. Apple hired Levoff in 2008 as Director of Corporate Law to check insider trading and fired him in 2018. Levoff is accused of selling millions of dollars in stock ahead of earnings and saving around $382,000 in losses besides earning $245,000 in profits.","Ex-Apple lawyer check insider trading sued insider trading. US Securities Exchange Commission filed lawsuit former Apple lawyer Gene Levoff insider trading. Apple hired Levoff 2008 Director Corporate Law check insider trading fired 2018. Levoff accused selling millions dollars stock ahead earnings saving around $ 382,000 losses besides earning $ 245,000 profits ."
800 million records from 32 hacked sites up for sale: Report,"A total of over 800 million accounts across 32 websites including Dubsmash and Ixigo have reportedly been hacked and their stolen data is being sold on the dark web. The most recent attack involves eight websites including fitness startup ClassPass, affecting 91 million users, reports added. Stolen data from recent attack is reportedly being sold for over $9,000 in Bitcoin.",technology,"800 million records from 32 hacked sites up for sale: Report. A total of over 800 million accounts across 32 websites including Dubsmash and Ixigo have reportedly been hacked and their stolen data is being sold on the dark web. The most recent attack involves eight websites including fitness startup ClassPass, affecting 91 million users, reports added. Stolen data from recent attack is reportedly being sold for over $9,000 in Bitcoin.","800 million records 32 hacked sites sale : Report. total 800 million accounts across 32 websites including Dubsmash Ixigo reportedly hacked stolen data sold dark web. recent attack involves eight websites including fitness startup ClassPass , affecting 91 million users , reports added. Stolen data recent attack reportedly sold $ 9,000 Bitcoin ."
Twitter testing 'profile preview' feature on iOS app,"Micro-blogging platform Twitter is testing a new 'profile preview' feature on its iOS app to check user profiles without leaving the timeline. The feature lets users see a card with information including options to follow or mute an account after tapping on the account's '@' handle in a tweet. This will encourage people to check profiles before responding, Twitter said.",technology,"Twitter testing 'profile preview' feature on iOS app. Micro-blogging platform Twitter is testing a new 'profile preview' feature on its iOS app to check user profiles without leaving the timeline. The feature lets users see a card with information including options to follow or mute an account after tapping on the account's '@' handle in a tweet. This will encourage people to check profiles before responding, Twitter said.","Twitter testing profile preview feature iOS app. Micro-blogging platform Twitter testing new profile preview feature iOS app check user profiles without leaving timeline. feature lets users see card information including options follow mute account tapping accounts @ handle tweet. encourage people check profiles responding , Twitter said ."
Google to invest $13 billion in US in 2019: CEO Pichai,"Google aims to invest $13 billion in offices and data centres in the US in 2019, CEO Sundar Pichai revealed. This will enable Google to hire ""tens of thousands of employees"" alongside creation of over 10,000 construction jobs, Pichai said. ""2019 marks the second year in a row we’ll grow faster outside of Bay Area than in it"", he added.",technology,"Google to invest $13 billion in US in 2019: CEO Pichai. Google aims to invest $13 billion in offices and data centres in the US in 2019, CEO Sundar Pichai revealed. This will enable Google to hire ""tens of thousands of employees"" alongside creation of over 10,000 construction jobs, Pichai said. ""2019 marks the second year in a row we’ll grow faster outside of Bay Area than in it"", he added.","Google invest $ 13 billion US 2019 : CEO Pichai. Google aims invest $ 13 billion offices data centres US 2019 , CEO Sundar Pichai revealed. enable Google hire "" tens thousands employees "" alongside creation 10,000 construction jobs , Pichai said. "" 2019 marks second year row well grow faster outside Bay Area "" , added ."
Old iPhones to stop Intel chip use post Qualcomm Germany suit,"Apple said it will resume selling older iPhone models including iPhone 7 and iPhone 8 with only Qualcomm chips in Germany. A patent infringement ruling had banned the models last year, following which Qualcomm had also posted security bonds of $1.52 billion to enforce it. ""We have no choice but to stop using Intel chips,"" Apple said.",technology,"Old iPhones to stop Intel chip use post Qualcomm Germany suit. Apple said it will resume selling older iPhone models including iPhone 7 and iPhone 8 with only Qualcomm chips in Germany. A patent infringement ruling had banned the models last year, following which Qualcomm had also posted security bonds of $1.52 billion to enforce it. ""We have no choice but to stop using Intel chips,"" Apple said.","Old iPhones stop Intel chip use post Qualcomm Germany suit. Apple said resume selling older iPhone models including iPhone 7 iPhone 8 Qualcomm chips Germany. patent infringement ruling banned models last year , following Qualcomm also posted security bonds $ 1.52 billion enforce it. "" no choice stop using Intel chips , "" Apple said ."
CBDT plans 30-40% digital tax on global tech firms: Report,"Central Board of Direct Taxes (CBDT) has reportedly proposed a 30-40% digital tax on global technology firms including Google, Facebook, Twitter, and Amazon, based on their user base and revenue. Existing rule based on physical presence no longer holds good for taxation of business profits in India, CBDT reportedly said. However, the final guideline may reportedly take a year's time.",technology,"CBDT plans 30-40% digital tax on global tech firms: Report. Central Board of Direct Taxes (CBDT) has reportedly proposed a 30-40% digital tax on global technology firms including Google, Facebook, Twitter, and Amazon, based on their user base and revenue. Existing rule based on physical presence no longer holds good for taxation of business profits in India, CBDT reportedly said. However, the final guideline may reportedly take a year's time.","CBDT plans 30-40 % digital tax global tech firms : Report. Central Board Direct Taxes ( CBDT ) reportedly proposed 30-40 % digital tax global technology firms including Google , Facebook , Twitter , Amazon , based user base revenue. Existing rule based physical presence no longer holds good taxation business profits India , CBDT reportedly said. However , final guideline may reportedly take years time ."
